QueryNumber;List
1;[1, 52, 0.19765651659820213]
1;[2, 533, 0.17943249372704728]
1;[3, 437, 0.16215142396258683]
1;[4, 957, 0.15632438411209937]
1;[5, 568, 0.14695683996750453]
1;[6, 392, 0.13698005217461315]
1;[7, 950, 0.13164680239982335]
1;[8, 311, 0.131159094279415]
1;[9, 499, 0.13098918373465704]
1;[10, 302, 0.12950640814336056]
1;[11, 439, 0.12724840296843942]
1;[12, 827, 0.12612408780675136]
1;[13, 461, 0.11177268316601283]
1;[14, 11, 0.10517343877854775]
1;[15, 27, 0.10433088170427017]
1;[16, 502, 0.10415042362485764]
1;[17, 856, 0.09841608296523262]
1;[18, 441, 0.09535914988267084]
1;[19, 1026, 0.09306301150554297]
1;[20, 451, 0.09304796650412275]
1;[21, 503, 0.09156958089867553]
1;[22, 711, 0.08972298977608296]
1;[23, 636, 0.08917970954207485]
1;[24, 1159, 0.08818170929035701]
1;[25, 960, 0.08773368466871598]
1;[26, 96, 0.08658274434350458]
1;[27, 754, 0.08654601581723072]
1;[28, 189, 0.08439929518681925]
1;[29, 1180, 0.08425180669404186]
1;[30, 398, 0.08293817694335731]
1;[31, 875, 0.08212515309032707]
1;[32, 1167, 0.08174170512916075]
1;[33, 1188, 0.0816677131761313]
1;[34, 730, 0.08152267630998844]
1;[35, 151, 0.07970714442649732]
1;[36, 742, 0.07965075983146004]
1;[37, 496, 0.07850749010497547]
1;[38, 854, 0.07733016652316042]
1;[39, 789, 0.07644237862094234]
1;[40, 501, 0.07456007850996009]
1;[41, 850, 0.0743152446333174]
1;[42, 914, 0.07404603182678915]
1;[43, 497, 0.07276846726359801]
1;[44, 967, 0.07249550816464177]
1;[45, 154, 0.07238207172898538]
1;[46, 741, 0.07114804840952137]
1;[47, 592, 0.07092508704817561]
1;[48, 246, 0.07008931072882296]
1;[49, 171, 0.0697370765827902]
1;[50, 265, 0.06942836499481311]
1;[51, 690, 0.06893883497592788]
1;[52, 430, 0.06861706208373404]
1;[53, 1107, 0.06828695936814201]
1;[54, 85, 0.068152893668731]
1;[55, 753, 0.06782555511099564]
1;[56, 147, 0.06744786414905854]
1;[57, 527, 0.06702364035225361]
1;[58, 67, 0.06609051354467635]
1;[59, 266, 0.06600710451839889]
1;[60, 523, 0.06593199389351241]
1;[61, 511, 0.06456844593630717]
1;[62, 318, 0.06438568444724987]
1;[63, 505, 0.06435506299787556]
1;[64, 1064, 0.06421005136679456]
1;[65, 1201, 0.06412344951039758]
1;[66, 1042, 0.06398781430157761]
1;[67, 526, 0.06341075592727415]
1;[68, 529, 0.06256567921576257]
1;[69, 958, 0.06252484795982796]
1;[70, 287, 0.06250784755066359]
1;[71, 810, 0.062227511585337764]
1;[72, 846, 0.062179029409627766]
1;[73, 1102, 0.061934183330338226]
1;[74, 1145, 0.061736492521447854]
1;[75, 918, 0.061667042979428655]
1;[76, 1055, 0.06148165775243152]
1;[77, 531, 0.060687371394709436]
1;[78, 867, 0.06057643033476591]
1;[79, 481, 0.06036707890691096]
1;[80, 1185, 0.06017953383898867]
1;[81, 982, 0.05993323880828511]
1;[82, 1224, 0.0596346928612645]
1;[83, 166, 0.05958523116414688]
1;[84, 734, 0.05939735992104078]
1;[85, 106, 0.058681319650534476]
1;[86, 288, 0.05863635668080861]
1;[87, 53, 0.05845965793038573]
1;[88, 582, 0.05841646081675156]
1;[89, 1238, 0.05836626969932166]
1;[90, 847, 0.058262427453764164]
1;[91, 912, 0.058210823309270146]
1;[92, 548, 0.05821015170459857]
1;[93, 510, 0.05800289994637265]
1;[94, 943, 0.057782616928578286]
1;[95, 596, 0.0576202548760642]
1;[96, 758, 0.056887038139588536]
1;[97, 484, 0.05666221408252925]
1;[98, 555, 0.05664326879299883]
1;[99, 552, 0.056217279391749746]
1;[100, 122, 0.05612699829060558]
1;[101, 1139, 0.05590321622690931]
1;[102, 975, 0.05565820946192077]
1;[103, 277, 0.055291240007240366]
1;[104, 109, 0.054497193768395756]
1;[105, 352, 0.05418525655418441]
1;[106, 1168, 0.05412767791750108]
1;[107, 1234, 0.05409696942779483]
1;[108, 1066, 0.05338981006930463]
1;[109, 658, 0.053385958406139265]
