QueryNumber;List
1;[1, 52, 0.1485111789432114]
1;[2, 437, 0.14249961284475637]
1;[3, 568, 0.1387660601245028]
1;[4, 533, 0.13873947873302492]
1;[5, 302, 0.1327806796649484]
1;[6, 311, 0.124273109594558]
1;[7, 392, 0.12275442527667427]
1;[8, 499, 0.11537426722617025]
1;[9, 439, 0.1090439426564074]
1;[10, 827, 0.10823857768120589]
1;[11, 957, 0.10794777387480224]
1;[12, 11, 0.10508722741554019]
1;[13, 461, 0.10190535591595237]
1;[14, 950, 0.09730095321880552]
1;[15, 856, 0.09209785793936917]
1;[16, 1180, 0.08799742259777313]
1;[17, 1026, 0.08423726339236615]
1;[18, 441, 0.08369503261424278]
1;[19, 398, 0.08349619713130028]
1;[20, 754, 0.0831739657043536]
1;[21, 189, 0.08308233124983398]
1;[22, 636, 0.08287673035317786]
1;[23, 1188, 0.08248084040980379]
1;[24, 711, 0.08238515368679318]
1;[25, 958, 0.07936506535020056]
1;[26, 96, 0.07803321947850816]
1;[27, 960, 0.07729540098748863]
1;[28, 742, 0.07566055340165931]
1;[29, 151, 0.07563592202909877]
1;[30, 523, 0.07499253115374323]
1;[31, 875, 0.07426516150721707]
1;[32, 730, 0.07299449133489713]
1;[33, 850, 0.07028259561442439]
1;[34, 810, 0.06867148193010655]
1;[35, 741, 0.06656786513917644]
1;[36, 789, 0.06603654807203001]
1;[37, 497, 0.06553986230360456]
1;[38, 246, 0.06545942109209262]
1;[39, 171, 0.06472009159037434]
1;[40, 27, 0.06432321164174996]
1;[41, 288, 0.06400850638467644]
1;[42, 265, 0.06400807515053414]
1;[43, 914, 0.06396213502170692]
1;[44, 496, 0.06367811755113642]
1;[45, 967, 0.063621965440764]
1;[46, 531, 0.06300831688658476]
1;[47, 1107, 0.062186209826665305]
1;[48, 481, 0.06217486026483934]
1;[49, 1042, 0.06214265286923316]
1;[50, 502, 0.061624037556933534]
1;[51, 106, 0.061148091664643696]
1;[52, 266, 0.06058064684287941]
1;[53, 287, 0.06025112155354608]
1;[54, 1215, 0.059685684228046786]
1;[55, 527, 0.05926609642926479]
1;[56, 1201, 0.05914201816248188]
1;[57, 758, 0.05909648955123023]
1;[58, 147, 0.05904422333755078]
1;[59, 1055, 0.05894309809136867]
1;[60, 53, 0.05822139047444428]
1;[61, 451, 0.05788787707010285]
1;[62, 526, 0.05754200980281994]
1;[63, 511, 0.05737995634496333]
1;[64, 1102, 0.05698586103312]
1;[65, 1168, 0.056551920295003257]
1;[66, 459, 0.05612064160803777]
1;[67, 847, 0.05582033965428886]
1;[68, 766, 0.05546098097315026]
1;[69, 157, 0.05524600032991434]
1;[70, 1064, 0.05519690814567221]
1;[71, 529, 0.055071695243014515]
1;[72, 982, 0.0550636714670764]
1;[73, 1145, 0.05486042427969179]
1;[74, 690, 0.05432794390781207]
1;[75, 846, 0.054206897666885724]
1;[76, 1185, 0.05315894906407481]
1;[77, 166, 0.05312007274095453]
1;[78, 43, 0.051643944629538856]
1;[79, 582, 0.051607332679416675]
1;[80, 1199, 0.05148895867398994]
1;[81, 510, 0.05132971437001374]
1;[82, 122, 0.05106159167135927]
1;[83, 878, 0.05100189224980176]
1;[84, 107, 0.05076357223293846]
1;[85, 867, 0.05067385419721787]
1;[86, 962, 0.05061024380008193]
1;[87, 352, 0.05044368964568242]
1;[88, 970, 0.05018936196854109]
1;[89, 386, 0.05011314491102176]
1;[90, 277, 0.05006341805302156]
1;[91, 538, 0.04961204932215139]
1;[92, 478, 0.04900755126070584]
1;[93, 552, 0.048670456707475905]
1;[94, 658, 0.048661211751469265]
1;[95, 767, 0.048614578916651004]
1;[96, 975, 0.04842622120839956]
1;[97, 28, 0.04833180052642676]
1;[98, 1234, 0.04814407296307776]
1;[99, 159, 0.04804099222926851]
1;[100, 596, 0.048036597104734215]
1;[101, 484, 0.048006661552468806]
1;[102, 1238, 0.04783978920247614]
1;[103, 1202, 0.04783743407393636]
1;[104, 317, 0.04770918483233951]
1;[105, 854, 0.04689842637425912]
1;[106, 444, 0.04669960276943901]
1;[107, 805, 0.046286770236478085]
1;[108, 501, 0.04626157188462197]
1;[109, 1139, 0.04616811700688143]
1;[110, 430, 0.04595004393380022]
1;[111, 1059, 0.0459206149831333]
1;[112, 765, 0.045906639260225986]
1;[113, 139, 0.045809624705312954]
1;[114, 543, 0.04564340132664223]
1;[115, 300, 0.045589675097308754]
1;[116, 651, 0.04544841858886022]
1;[117, 321, 0.0453638799219497]
1;[118, 861, 0.044782198547125555]
1;[119, 999, 0.04472652110369551]
1;[120, 1081, 0.04439868581294424]
1;[121, 738, 0.04430947145558578]
1;[122, 109, 0.04408400387639847]
1;[123, 522, 0.04326203467088237]
1;[124, 440, 0.04319369094852558]
1;[125, 753, 0.043059396094979906]
1;[126, 733, 0.04283239039741091]
1;[127, 1161, 0.042363299747878905]
1;[128, 179, 0.04235697999514363]
1;[129, 40, 0.042338949471636175]
1;[130, 876, 0.04170305064136211]
1;[131, 592, 0.041679492504730686]
1;[132, 823, 0.04160922250791495]
1;[133, 503, 0.04147068537768635]
1;[134, 316, 0.04126498626032831]
1;[135, 1044, 0.041135083893550035]
1;[136, 435, 0.04109368136160212]
1;[137, 840, 0.04108278839436676]
1;[138, 836, 0.040962989341167065]
1;[139, 546, 0.040960027008029865]
1;[140, 498, 0.040916933384505666]
1;[141, 1227, 0.0408368629621584]
1;[142, 133, 0.04048136462070495]
1;[143, 693, 0.04037953304078478]
1;[144, 564, 0.04020922127719071]
1;[145, 606, 0.04011111002218903]
1;[146, 813, 0.040032227034768705]
1;[147, 67, 0.040019121874052405]
1;[148, 1036, 0.039582308373286086]
1;[149, 973, 0.03956819369691507]
1;[150, 505, 0.03950493054999996]
1;[151, 1016, 0.03908073047500884]
1;[152, 990, 0.03889593089120039]
1;[153, 463, 0.03874697436315049]
1;[154, 909, 0.03867043678624519]
1;[155, 701, 0.0385671162703283]
1;[156, 848, 0.03793816400951186]
1;[157, 47, 0.037604951808796784]
1;[158, 1112, 0.037533732314074926]
1;[159, 458, 0.0369066820737379]
1;[160, 290, 0.03681529845560988]
1;[161, 289, 0.03679693689008774]
1;[162, 559, 0.036783158972713725]
1;[163, 208, 0.036700746279142334]
1;[164, 567, 0.03668050102894022]
1;[165, 570, 0.03654349443574288]
1;[166, 60, 0.03641006154988105]
1;[167, 734, 0.03601923373254067]
1;[168, 776, 0.0359933878585323]
1;[169, 239, 0.03591874408143029]
1;[170, 1078, 0.035660774560007415]
1;[171, 256, 0.03486684325298484]
1;[172, 41, 0.034654331272699034]
1;[173, 467, 0.034427319539466136]
1;[174, 1197, 0.03435236013203615]
1;[175, 453, 0.03422309919360968]
1;[176, 61, 0.03417226184184308]
1;[177, 1071, 0.03411608483014214]
1;[178, 1159, 0.03410338153732087]
1;[179, 906, 0.0340085771069457]
1;[180, 676, 0.03393372248117268]
1;[181, 263, 0.03379801276709794]
1;[182, 532, 0.03360548457684123]
1;[183, 943, 0.03355531162518378]
1;[184, 163, 0.03350365366643023]
1;[185, 1193, 0.03345599896149848]
1;[186, 710, 0.03336827809746324]
1;[187, 419, 0.03283634792483913]
1;[188, 892, 0.032816762661887454]
1;[189, 218, 0.03262388528586873]
1;[190, 1120, 0.03252154891923289]
1;[191, 296, 0.032329503482474944]
1;[192, 400, 0.03201693927801132]
1;[193, 638, 0.031840226039670926]
1;[194, 581, 0.03174841300998002]
1;[195, 221, 0.031250751491793516]
1;[196, 201, 0.03098873524571881]
1;[197, 211, 0.030880807285429603]
1;[198, 980, 0.030859091581227297]
1;[199, 563, 0.030787443961987293]
1;[200, 101, 0.030572443379118512]
1;[201, 925, 0.030426064709296333]
1;[202, 366, 0.030337368466233146]
1;[203, 427, 0.030319768688457937]
1;[204, 324, 0.030318240019709442]
1;[205, 562, 0.0303082649821641]
1;[206, 1041, 0.029876579402375297]
1;[207, 1029, 0.02980839600734132]
1;[208, 1149, 0.029676063054192587]
1;[209, 337, 0.029529288609739735]
1;[210, 74, 0.02952211892199061]
1;[211, 768, 0.02916381042807303]
1;[212, 1003, 0.029113571601998893]
1;[213, 617, 0.02906867440711315]
1;[214, 1133, 0.028949280711424802]
1;[215, 928, 0.028595408835070623]
1;[216, 333, 0.028348881980712764]
1;[217, 1050, 0.028063412808424074]
1;[218, 373, 0.02789221856599497]
1;[219, 536, 0.027598811127776107]
